,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,RatioPetalLengthWidthCm
0,5.1,3.5,1.4,0.2,Iris-setosa,6.999999999999999
1,4.9,3.0,1.4,0.2,Iris-setosa,6.999999999999999
2,4.7,3.2,1.3,0.2,Iris-setosa,6.5
3,4.6,3.1,1.5,0.2,Iris-setosa,7.5
4,5.0,3.6,1.4,0.2,Iris-setosa,6.999999999999999
5,5.4,3.9,1.7,0.4,Iris-setosa,4.25
6,4.6,3.4,1.4,0.3,Iris-setosa,4.666666666666667
7,5.0,3.4,1.5,0.2,Iris-setosa,7.5
8,4.4,2.9,1.4,0.2,Iris-setosa,6.999999999999999
9,4.9,3.1,1.5,0.1,Iris-setosa,15.0
10,5.4,3.7,1.5,0.2,Iris-setosa,7.5
11,4.8,3.4,1.6,0.2,Iris-setosa,8.0
12,4.8,3.0,1.4,0.1,Iris-setosa,13.999999999999998
13,4.3,3.0,1.1,0.1,Iris-setosa,11.0
14,5.8,4.0,1.2,0.2,Iris-setosa,5.999999999999999
15,5.7,4.4,1.5,0.4,Iris-setosa,3.75
16,5.4,3.9,1.3,0.4,Iris-setosa,3.25
17,5.1,3.5,1.4,0.3,Iris-setosa,4.666666666666667
18,5.7,3.8,1.7,0.3,Iris-setosa,5.666666666666667
19,5.1,3.8,1.5,0.3,Iris-setosa,5.0
20,5.4,3.4,1.7,0.2,Iris-setosa,8.5
21,5.1,3.7,1.5,0.4,Iris-setosa,3.75
22,4.6,3.6,1.0,0.2,Iris-setosa,5.0
23,5.1,3.3,1.7,0.5,Iris-setosa,3.4
24,4.8,3.4,1.9,0.2,Iris-setosa,9.499999999999998
25,5.0,3.0,1.6,0.2,Iris-setosa,8.0
26,5.0,3.4,1.6,0.4,Iris-setosa,4.0
27,5.2,3.5,1.5,0.2,Iris-setosa,7.5
28,5.2,3.4,1.4,0.2,Iris-setosa,6.999999999999999
29,4.7,3.2,1.6,0.2,Iris-setosa,8.0
30,4.8,3.1,1.6,0.2,Iris-setosa,8.0
31,5.4,3.4,1.5,0.4,Iris-setosa,3.75
32,5.2,4.1,1.5,0.1,Iris-setosa,15.0
33,5.5,4.2,1.4,0.2,Iris-setosa,6.999999999999999
34,4.9,3.1,1.5,0.1,Iris-setosa,15.0
35,5.0,3.2,1.2,0.2,Iris-setosa,5.999999999999999
36,5.5,3.5,1.3,0.2,Iris-setosa,6.5
37,4.9,3.1,1.5,0.1,Iris-setosa,15.0
38,4.4,3.0,1.3,0.2,Iris-setosa,6.5
39,5.1,3.4,1.5,0.2,Iris-setosa,7.5
40,5.0,3.5,1.3,0.3,Iris-setosa,4.333333333333334
41,4.5,2.3,1.3,0.3,Iris-setosa,4.333333333333334
42,4.4,3.2,1.3,0.2,Iris-setosa,6.5
43,5.0,3.5,1.6,0.6,Iris-setosa,2.666666666666667
44,5.1,3.8,1.9,0.4,Iris-setosa,4.749999999999999
45,4.8,3.0,1.4,0.3,Iris-setosa,4.666666666666667
46,5.1,3.8,1.6,0.2,Iris-setosa,8.0
47,4.6,3.2,1.4,0.2,Iris-setosa,6.999999999999999
48,5.3,3.7,1.5,0.2,Iris-setosa,7.5
49,5.0,3.3,1.4,0.2,Iris-setosa,6.999999999999999
50,7.0,3.2,4.7,1.4,Iris-versicolor,3.3571428571428577
51,6.4,3.2,4.5,1.5,Iris-versicolor,3.0
52,6.9,3.1,4.9,1.5,Iris-versicolor,3.266666666666667
53,5.5,2.3,4.0,1.3,Iris-versicolor,3.0769230769230766
54,6.5,2.8,4.6,1.5,Iris-versicolor,3.0666666666666664
55,5.7,2.8,4.5,1.3,Iris-versicolor,3.4615384615384612
56,6.3,3.3,4.7,1.6,Iris-versicolor,2.9375
57,4.9,2.4,3.3,1.0,Iris-versicolor,3.3
58,6.6,2.9,4.6,1.3,Iris-versicolor,3.538461538461538
59,5.2,2.7,3.9,1.4,Iris-versicolor,2.785714285714286
60,5.0,2.0,3.5,1.0,Iris-versicolor,3.5
61,5.9,3.0,4.2,1.5,Iris-versicolor,2.8000000000000003
62,6.0,2.2,4.0,1.0,Iris-versicolor,4.0
63,6.1,2.9,4.7,1.4,Iris-versicolor,3.3571428571428577
64,5.6,2.9,3.6,1.3,Iris-versicolor,2.769230769230769
65,6.7,3.1,4.4,1.4,Iris-versicolor,3.1428571428571432
66,5.6,3.0,4.5,1.5,Iris-versicolor,3.0
67,5.8,2.7,4.1,1.0,Iris-versicolor,4.1
68,6.2,2.2,4.5,1.5,Iris-versicolor,3.0
69,5.6,2.5,3.9,1.1,Iris-versicolor,3.545454545454545
70,5.9,3.2,4.8,1.8,Iris-versicolor,2.6666666666666665
71,6.1,2.8,4.0,1.3,Iris-versicolor,3.0769230769230766
72,6.3,2.5,4.9,1.5,Iris-versicolor,3.266666666666667
73,6.1,2.8,4.7,1.2,Iris-versicolor,3.916666666666667
74,6.4,2.9,4.3,1.3,Iris-versicolor,3.3076923076923075
75,6.6,3.0,4.4,1.4,Iris-versicolor,3.1428571428571432
76,6.8,2.8,4.8,1.4,Iris-versicolor,3.428571428571429
77,6.7,3.0,5.0,1.7,Iris-versicolor,2.9411764705882355
78,6.0,2.9,4.5,1.5,Iris-versicolor,3.0
79,5.7,2.6,3.5,1.0,Iris-versicolor,3.5
80,5.5,2.4,3.8,1.1,Iris-versicolor,3.454545454545454
81,5.5,2.4,3.7,1.0,Iris-versicolor,3.7
82,5.8,2.7,3.9,1.2,Iris-versicolor,3.25
83,6.0,2.7,5.1,1.6,Iris-versicolor,3.1874999999999996
84,5.4,3.0,4.5,1.5,Iris-versicolor,3.0
85,6.0,3.4,4.5,1.6,Iris-versicolor,2.8125
86,6.7,3.1,4.7,1.5,Iris-versicolor,3.1333333333333333
87,6.3,2.3,4.4,1.3,Iris-versicolor,3.3846153846153846
88,5.6,3.0,4.1,1.3,Iris-versicolor,3.1538461538461533
89,5.5,2.5,4.0,1.3,Iris-versicolor,3.0769230769230766
90,5.5,2.6,4.4,1.2,Iris-versicolor,3.666666666666667
91,6.1,3.0,4.6,1.4,Iris-versicolor,3.2857142857142856
92,5.8,2.6,4.0,1.2,Iris-versicolor,3.3333333333333335
93,5.0,2.3,3.3,1.0,Iris-versicolor,3.3
94,5.6,2.7,4.2,1.3,Iris-versicolor,3.230769230769231
95,5.7,3.0,4.2,1.2,Iris-versicolor,3.5000000000000004
96,5.7,2.9,4.2,1.3,Iris-versicolor,3.230769230769231
97,6.2,2.9,4.3,1.3,Iris-versicolor,3.3076923076923075
98,5.1,2.5,3.0,1.1,Iris-versicolor,2.727272727272727
99,5.7,2.8,4.1,1.3,Iris-versicolor,3.1538461538461533
100,6.3,3.3,6.0,2.5,Iris-virginica,2.4
101,5.8,2.7,5.1,1.9,Iris-virginica,2.6842105263157894
102,7.1,3.0,5.9,2.1,Iris-virginica,2.8095238095238098
103,6.3,2.9,5.6,1.8,Iris-virginica,3.1111111111111107
104,6.5,3.0,5.8,2.2,Iris-virginica,2.6363636363636362
105,7.6,3.0,6.6,2.1,Iris-virginica,3.1428571428571423
106,4.9,2.5,4.5,1.7,Iris-virginica,2.6470588235294117
107,7.3,2.9,6.3,1.8,Iris-virginica,3.5
108,6.7,2.5,5.8,1.8,Iris-virginica,3.222222222222222
109,7.2,3.6,6.1,2.5,Iris-virginica,2.44
110,6.5,3.2,5.1,2.0,Iris-virginica,2.55
111,6.4,2.7,5.3,1.9,Iris-virginica,2.7894736842105265
112,6.8,3.0,5.5,2.1,Iris-virginica,2.619047619047619
113,5.7,2.5,5.0,2.0,Iris-virginica,2.5
114,5.8,2.8,5.1,2.4,Iris-virginica,2.125
115,6.4,3.2,5.3,2.3,Iris-virginica,2.3043478260869565
116,6.5,3.0,5.5,1.8,Iris-virginica,3.0555555555555554
117,7.7,3.8,6.7,2.2,Iris-virginica,3.0454545454545454
118,7.7,2.6,6.9,2.3,Iris-virginica,3.0000000000000004
119,6.0,2.2,5.0,1.5,Iris-virginica,3.3333333333333335
120,6.9,3.2,5.7,2.3,Iris-virginica,2.4782608695652177
121,5.6,2.8,4.9,2.0,Iris-virginica,2.45
122,7.7,2.8,6.7,2.0,Iris-virginica,3.35
123,6.3,2.7,4.9,1.8,Iris-virginica,2.7222222222222223
124,6.7,3.3,5.7,2.1,Iris-virginica,2.7142857142857144
125,7.2,3.2,6.0,1.8,Iris-virginica,3.333333333333333
126,6.2,2.8,4.8,1.8,Iris-virginica,2.6666666666666665
127,6.1,3.0,4.9,1.8,Iris-virginica,2.7222222222222223
128,6.4,2.8,5.6,2.1,Iris-virginica,2.6666666666666665
129,7.2,3.0,5.8,1.6,Iris-virginica,3.6249999999999996
130,7.4,2.8,6.1,1.9,Iris-virginica,3.2105263157894735
131,7.9,3.8,6.4,2.0,Iris-virginica,3.2
132,6.4,2.8,5.6,2.2,Iris-virginica,2.545454545454545
133,6.3,2.8,5.1,1.5,Iris-virginica,3.4
134,6.1,2.6,5.6,1.4,Iris-virginica,4.0
135,7.7,3.0,6.1,2.3,Iris-virginica,2.6521739130434785
136,6.3,3.4,5.6,2.4,Iris-virginica,2.3333333333333335
137,6.4,3.1,5.5,1.8,Iris-virginica,3.0555555555555554
138,6.0,3.0,4.8,1.8,Iris-virginica,2.6666666666666665
139,6.9,3.1,5.4,2.1,Iris-virginica,2.5714285714285716
140,6.7,3.1,5.6,2.4,Iris-virginica,2.3333333333333335
141,6.9,3.1,5.1,2.3,Iris-virginica,2.217391304347826
142,5.8,2.7,5.1,1.9,Iris-virginica,2.6842105263157894
143,6.8,3.2,5.9,2.3,Iris-virginica,2.565217391304348
144,6.7,3.3,5.7,2.5,Iris-virginica,2.2800000000000002
145,6.7,3.0,5.2,2.3,Iris-virginica,2.2608695652173916
146,6.3,2.5,5.0,1.9,Iris-virginica,2.6315789473684212
147,6.5,3.0,5.2,2.0,Iris-virginica,2.6
148,6.2,3.4,5.4,2.3,Iris-virginica,2.347826086956522
149,5.9,3.0,5.1,1.8,Iris-virginica,2.833333333333333
